 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+01 eV = 1.28623E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: analytical DHFS model
 #                   A1 =  5.15971D-01 ,   ALPHA1 = 5.84918D+00
 #                   A2 =  4.84029D-01 ,   ALPHA2 = 1.17314D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 1.40000E+01
 #
 # Muffin-tin model: Rmt = 1.68000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 6.18185E-16 cm**2 = 2.20758E+01 a0**2
 # 1st transport cross section = 3.49778E-16 cm**2 = 1.24908E+01 a0**2
 # 2nd transport cross section = 4.03177E-16 cm**2 = 1.43977E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.73922E-16  1.69241E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.73922E-16  1.69241E+01  1.71641E-09  1.0E-07
  1.250E-04  1.18994E-12  4.73922E-16  1.69241E+01  2.14551E-09  1.0E-07
  1.500E-04  1.71346E-12  4.73922E-16  1.69241E+01  2.57461E-09  1.0E-07
  1.750E-04  2.33225E-12  4.73922E-16  1.69241E+01  3.00372E-09  1.0E-07
  2.000E-04  3.04617E-12  4.73922E-16  1.69241E+01  3.43282E-09  1.0E-07
  2.250E-04  3.85530E-12  4.73922E-16  1.69241E+01  3.86192E-09  1.0E-07
  2.500E-04  4.75964E-12  4.73922E-16  1.69241E+01  4.29102E-09  1.0E-07
  2.750E-04  5.75917E-12  4.73922E-16  1.69241E+01  4.72012E-09  1.0E-07
  3.000E-04  6.85391E-12  4.73922E-16  1.69241E+01  5.14923E-09  1.0E-07
  3.250E-04  8.04379E-12  4.73922E-16  1.69241E+01  5.57833E-09  1.0E-07
  3.500E-04  9.32893E-12  4.73922E-16  1.69241E+01  6.00743E-09  1.0E-07
  3.750E-04  1.07092E-11  4.73922E-16  1.69241E+01  6.43653E-09  1.0E-07
  4.000E-04  1.21847E-11  4.73922E-16  1.69241E+01  6.86563E-09  1.0E-07
