 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+04 eV = 6.61488E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.26950E-17 cm**2 = 4.53347E-01 a0**2
 # 1st transport cross section = 1.09129E-19 cm**2 = 3.89708E-03 a0**2
 # 2nd transport cross section = 2.65492E-19 cm**2 = 9.48088E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.45211E-15  1.23277E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.45211E-15  1.23277E+02  1.62790E-10  1.0E-07
  1.250E-04  1.18994E-12  3.45211E-15  1.23277E+02  2.03488E-10  1.0E-07
  1.500E-04  1.71346E-12  3.45211E-15  1.23277E+02  2.44185E-10  1.0E-07
  1.750E-04  2.33225E-12  3.45211E-15  1.23277E+02  2.84883E-10  1.0E-07
  2.000E-04  3.04617E-12  3.45211E-15  1.23277E+02  3.25580E-10  1.0E-07
  2.250E-04  3.85530E-12  3.45211E-15  1.23277E+02  3.66278E-10  1.0E-07
  2.500E-04  4.75964E-12  3.45211E-15  1.23277E+02  4.06975E-10  1.0E-07
  2.750E-04  5.75917E-12  3.45211E-15  1.23277E+02  4.47673E-10  1.0E-07
  3.000E-04  6.85391E-12  3.45211E-15  1.23277E+02  4.88370E-10  1.0E-07
  3.250E-04  8.04379E-12  3.45211E-15  1.23277E+02  5.29068E-10  1.0E-07
  3.500E-04  9.32893E-12  3.45211E-15  1.23277E+02  5.69765E-10  1.0E-07
  3.750E-04  1.07092E-11  3.45211E-15  1.23277E+02  6.10463E-10  1.0E-07
  4.000E-04  1.21847E-11  3.45211E-15  1.23277E+02  6.51160E-10  1.0E-07
  4.250E-04  1.37554E-11  3.45211E-15  1.23277E+02  6.91858E-10  1.0E-07
