 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+01 eV = 1.46997E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.51336E-16 cm**2 = 1.61175E+01 a0**2
 # 1st transport cross section = 3.54393E-16 cm**2 = 1.26556E+01 a0**2
 # 2nd transport cross section = 2.64021E-16 cm**2 = 9.42834E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.66373E-16  5.94130E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.66373E-16  5.94130E+00  1.36612E-10  1.0E-07
  1.250E-04  1.18994E-12  1.66373E-16  5.94130E+00  1.70765E-10  1.0E-07
  1.500E-04  1.71346E-12  1.66373E-16  5.94130E+00  2.04918E-10  1.0E-07
  1.750E-04  2.33225E-12  1.66373E-16  5.94130E+00  2.39071E-10  1.0E-07
  2.000E-04  3.04617E-12  1.66373E-16  5.94130E+00  2.73224E-10  1.0E-07
  2.250E-04  3.85530E-12  1.66373E-16  5.94130E+00  3.07377E-10  1.0E-07
  2.500E-04  4.75964E-12  1.66373E-16  5.94130E+00  3.41530E-10  1.0E-07
  2.750E-04  5.75917E-12  1.66373E-16  5.94130E+00  3.75683E-10  1.0E-07
  3.000E-04  6.85391E-12  1.66373E-16  5.94130E+00  4.09836E-10  1.0E-07
  3.250E-04  8.04379E-12  1.66373E-16  5.94130E+00  4.43989E-10  1.0E-07
  3.500E-04  9.32893E-12  1.66373E-16  5.94130E+00  4.78142E-10  1.0E-07
  3.750E-04  1.07092E-11  1.66373E-16  5.94130E+00  5.12295E-10  1.0E-07
  4.000E-04  1.21847E-11  1.66373E-16  5.94130E+00  5.46448E-10  1.0E-07
  4.250E-04  1.37554E-11  1.66373E-16  5.94130E+00  5.80601E-10  1.0E-07
  4.500E-04  1.54213E-11  1.66373E-16  5.94130E+00  6.14754E-10  1.0E-07
  4.750E-04  1.71823E-11  1.66373E-16  5.94130E+00  6.48907E-10  1.0E-07
  5.000E-04  1.90386E-11  1.66373E-16  5.94130E+00  6.83060E-10  1.0E-07
  5.250E-04  2.09900E-11  1.66373E-16  5.94130E+00  7.17213E-10  1.0E-07
  5.500E-04  2.30367E-11  1.66373E-16  5.94130E+00  7.51366E-10  1.0E-07
  5.750E-04  2.51785E-11  1.66373E-16  5.94130E+00  7.85519E-10  1.0E-07
  6.000E-04  2.74156E-11  1.66373E-16  5.94130E+00  8.19672E-10  1.0E-07
  6.250E-04  2.97478E-11  1.66373E-16  5.94130E+00  8.53825E-10  1.0E-07
  6.500E-04  3.21752E-11  1.66373E-16  5.94130E+00  8.87978E-10  1.0E-07
  6.750E-04  3.46979E-11  1.66373E-16  5.94130E+00  9.22131E-10  1.0E-07
  7.000E-04  3.73157E-11  1.66373E-16  5.94130E+00  9.56284E-10  1.0E-07
  7.250E-04  4.00286E-11  1.66373E-16  5.94130E+00  9.90437E-10  1.0E-07
  7.500E-04  4.28368E-11  1.66373E-16  5.94130E+00  1.02459E-09  1.0E-07
  7.750E-04  4.57402E-11  1.66373E-16  5.94130E+00  1.05874E-09  1.0E-07
  8.000E-04  4.87388E-11  1.66373E-16  5.94130E+00  1.09290E-09  1.0E-07
  8.250E-04  5.18325E-11  1.66373E-16  5.94130E+00  1.12705E-09  1.0E-07
  8.500E-04  5.50215E-11  1.66373E-16  5.94130E+00  1.16120E-09  1.0E-07
  8.750E-04  5.83057E-11  1.66373E-16  5.94130E+00  1.19536E-09  1.0E-07
  9.000E-04  6.16850E-11  1.66373E-16  5.94130E+00  1.22951E-09  1.0E-07
  9.250E-04  6.51595E-11  1.66373E-16  5.94130E+00  1.26366E-09  1.0E-07
  9.500E-04  6.87293E-11  1.66373E-16  5.94130E+00  1.29781E-09  1.0E-07
  9.750E-04  7.23943E-11  1.66373E-16  5.94130E+00  1.33197E-09  1.0E-07
  1.000E-03  7.61544E-11  1.66373E-16  5.94130E+00  1.36612E-09  1.0E-07
  1.250E-03  1.18991E-10  1.66373E-16  5.94130E+00  1.70765E-09  1.0E-07
  1.500E-03  1.71347E-10  1.66373E-16  5.94130E+00  2.04918E-09  1.0E-07
  1.750E-03  2.33223E-10  1.66373E-16  5.94130E+00  2.39071E-09  1.0E-07
  2.000E-03  3.04617E-10  1.66373E-16  5.94130E+00  2.73224E-09  1.0E-07
  2.250E-03  3.85531E-10  1.66373E-16  5.94130E+00  3.07377E-09  1.0E-07
  2.500E-03  4.75965E-10  1.66373E-16  5.94130E+00  3.41530E-09  1.0E-07
  2.750E-03  5.75917E-10  1.66373E-16  5.94130E+00  3.75683E-09  1.0E-07
  3.000E-03  6.85389E-10  1.66373E-16  5.94130E+00  4.09836E-09  1.0E-07
  3.250E-03  8.04380E-10  1.66373E-16  5.94130E+00  4.43989E-09  1.0E-07
  3.500E-03  9.32891E-10  1.66373E-16  5.94130E+00  4.78142E-09  1.0E-07
  3.750E-03  1.07092E-09  1.66373E-16  5.94130E+00  5.12295E-09  1.0E-07
  4.000E-03  1.21847E-09  1.66373E-16  5.94130E+00  5.46448E-09  1.0E-07
  4.250E-03  1.37554E-09  1.66373E-16  5.94130E+00  5.80601E-09  1.0E-07
  4.500E-03  1.54213E-09  1.66373E-16  5.94130E+00  6.14754E-09  1.0E-07
  4.750E-03  1.71823E-09  1.66373E-16  5.94130E+00  6.48907E-09  1.0E-07
  5.000E-03  1.90386E-09  1.66373E-16  5.94130E+00  6.83060E-09  1.0E-07
  5.250E-03  2.09900E-09  1.66373E-16  5.94130E+00  7.17213E-09  1.0E-07
  5.500E-03  2.30367E-09  1.66373E-16  5.94130E+00  7.51366E-09  1.0E-07
  5.750E-03  2.51785E-09  1.66373E-16  5.94130E+00  7.85519E-09  1.0E-07
  6.000E-03  2.74156E-09  1.66373E-16  5.94130E+00  8.19672E-09  1.0E-07
  6.250E-03  2.97478E-09  1.66373E-16  5.94130E+00  8.53825E-09  1.0E-07
  6.500E-03  3.21752E-09  1.66373E-16  5.94130E+00  8.87978E-09  1.0E-07
  6.750E-03  3.46978E-09  1.66373E-16  5.94130E+00  9.22131E-09  1.0E-07
  7.000E-03  3.73156E-09  1.66373E-16  5.94130E+00  9.56284E-09  1.0E-07
  7.250E-03  4.00286E-09  1.66373E-16  5.94130E+00  9.90437E-09  1.0E-07
