 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+02 eV = 1.65372E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 8.97037E-17 cm**2 = 3.20338E+00 a0**2
 # 1st transport cross section = 2.12411E-17 cm**2 = 7.58533E-01 a0**2
 # 2nd transport cross section = 3.39655E-17 cm**2 = 1.21293E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.57519E-16  9.19616E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.57519E-16  9.19616E+00  3.88648E-10  1.0E-07
  1.250E-04  1.18994E-12  2.57519E-16  9.19616E+00  4.85810E-10  1.0E-07
  1.500E-04  1.71346E-12  2.57519E-16  9.19616E+00  5.82973E-10  1.0E-07
  1.750E-04  2.33225E-12  2.57519E-16  9.19616E+00  6.80135E-10  1.0E-07
  2.000E-04  3.04617E-12  2.57519E-16  9.19616E+00  7.77297E-10  1.0E-07
  2.250E-04  3.85530E-12  2.57519E-16  9.19616E+00  8.74459E-10  1.0E-07
  2.500E-04  4.75964E-12  2.57519E-16  9.19616E+00  9.71621E-10  1.0E-07
  2.750E-04  5.75917E-12  2.57519E-16  9.19616E+00  1.06878E-09  1.0E-07
  3.000E-04  6.85391E-12  2.57519E-16  9.19616E+00  1.16595E-09  1.0E-07
  3.250E-04  8.04379E-12  2.57519E-16  9.19616E+00  1.26311E-09  1.0E-07
  3.500E-04  9.32893E-12  2.57519E-16  9.19616E+00  1.36027E-09  1.0E-07
  3.750E-04  1.07092E-11  2.57519E-16  9.19616E+00  1.45743E-09  1.0E-07
  4.000E-04  1.21847E-11  2.57519E-16  9.19616E+00  1.55459E-09  1.0E-07
  4.250E-04  1.37554E-11  2.57519E-16  9.19616E+00  1.65176E-09  1.0E-07
  4.500E-04  1.54213E-11  2.57519E-16  9.19616E+00  1.74892E-09  1.0E-07
  4.750E-04  1.71823E-11  2.57519E-16  9.19616E+00  1.84608E-09  1.0E-07
  5.000E-04  1.90386E-11  2.57519E-16  9.19616E+00  1.94324E-09  1.0E-07
  5.250E-04  2.09900E-11  2.57519E-16  9.19616E+00  2.04040E-09  1.0E-07
  5.500E-04  2.30367E-11  2.57519E-16  9.19616E+00  2.13757E-09  1.0E-07
  5.750E-04  2.51785E-11  2.57519E-16  9.19616E+00  2.23473E-09  1.0E-07
  6.000E-04  2.74156E-11  2.57519E-16  9.19616E+00  2.33189E-09  1.0E-07
  6.250E-04  2.97478E-11  2.57519E-16  9.19616E+00  2.42905E-09  1.0E-07
  6.500E-04  3.21752E-11  2.57519E-16  9.19616E+00  2.52621E-09  1.0E-07
  6.750E-04  3.46979E-11  2.57519E-16  9.19616E+00  2.62338E-09  1.0E-07
  7.000E-04  3.73157E-11  2.57519E-16  9.19616E+00  2.72054E-09  1.0E-07
  7.250E-04  4.00286E-11  2.57519E-16  9.19616E+00  2.81770E-09  1.0E-07
  7.500E-04  4.28368E-11  2.57519E-16  9.19616E+00  2.91486E-09  1.0E-07
  7.750E-04  4.57402E-11  2.57519E-16  9.19616E+00  3.01203E-09  1.0E-07
  8.000E-04  4.87388E-11  2.57519E-16  9.19616E+00  3.10919E-09  1.0E-07
  8.250E-04  5.18325E-11  2.57519E-16  9.19616E+00  3.20635E-09  1.0E-07
  8.500E-04  5.50215E-11  2.57519E-16  9.19616E+00  3.30351E-09  1.0E-07
  8.750E-04  5.83057E-11  2.57519E-16  9.19616E+00  3.40067E-09  1.0E-07
  9.000E-04  6.16850E-11  2.57519E-16  9.19616E+00  3.49784E-09  1.0E-07
  9.250E-04  6.51595E-11  2.57519E-16  9.19616E+00  3.59500E-09  1.0E-07
  9.500E-04  6.87293E-11  2.57519E-16  9.19616E+00  3.69216E-09  1.0E-07
  9.750E-04  7.23943E-11  2.57519E-16  9.19616E+00  3.78932E-09  1.0E-07
  1.000E-03  7.61544E-11  2.57519E-16  9.19616E+00  3.88648E-09  1.0E-07
  1.250E-03  1.18991E-10  2.57519E-16  9.19616E+00  4.85810E-09  1.0E-07
  1.500E-03  1.71347E-10  2.57519E-16  9.19616E+00  5.82973E-09  1.0E-07
  1.750E-03  2.33223E-10  2.57519E-16  9.19616E+00  6.80135E-09  1.0E-07
  2.000E-03  3.04617E-10  2.57519E-16  9.19616E+00  7.77297E-09  1.0E-07
  2.250E-03  3.85531E-10  2.57519E-16  9.19616E+00  8.74459E-09  1.0E-07
  2.500E-03  4.75965E-10  2.57519E-16  9.19616E+00  9.71621E-09  1.0E-07
  2.750E-03  5.75917E-10  2.57519E-16  9.19616E+00  1.06878E-08  1.0E-07
  3.000E-03  6.85389E-10  2.57519E-16  9.19616E+00  1.16595E-08  1.0E-07
  3.250E-03  8.04380E-10  2.57519E-16  9.19616E+00  1.26311E-08  1.0E-07
  3.500E-03  9.32891E-10  2.57519E-16  9.19616E+00  1.36027E-08  1.0E-07
  3.750E-03  1.07092E-09  2.57519E-16  9.19616E+00  1.45743E-08  1.0E-07
  4.000E-03  1.21847E-09  2.57519E-16  9.19616E+00  1.55459E-08  1.0E-07
  4.250E-03  1.37554E-09  2.57519E-16  9.19616E+00  1.65176E-08  1.0E-07
  4.500E-03  1.54213E-09  2.57519E-16  9.19616E+00  1.74892E-08  1.0E-07
  4.750E-03  1.71823E-09  2.57519E-16  9.19616E+00  1.84608E-08  1.0E-07
  5.000E-03  1.90386E-09  2.57519E-16  9.19616E+00  1.94324E-08  1.0E-07
  5.250E-03  2.09900E-09  2.57519E-16  9.19616E+00  2.04040E-08  1.0E-07
  5.500E-03  2.30367E-09  2.57519E-16  9.19616E+00  2.13757E-08  1.0E-07
  5.750E-03  2.51785E-09  2.57519E-16  9.19616E+00  2.23473E-08  1.0E-07
  6.000E-03  2.74156E-09  2.57519E-16  9.19615E+00  2.33189E-08  1.0E-07
  6.250E-03  2.97478E-09  2.57519E-16  9.19615E+00  2.42905E-08  1.0E-07
  6.500E-03  3.21752E-09  2.57519E-16  9.19615E+00  2.52621E-08  1.0E-07
  6.750E-03  3.46978E-09  2.57519E-16  9.19615E+00  2.62338E-08  1.0E-07
  7.000E-03  3.73156E-09  2.57519E-16  9.19615E+00  2.72054E-08  1.0E-07
  7.250E-03  4.00286E-09  2.57519E-16  9.19615E+00  2.81770E-08  1.0E-07
  7.500E-03  4.28368E-09  2.57519E-16  9.19615E+00  2.91486E-08  1.0E-07
