 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: analytical DHFS model
 #                   A1 =  6.25130D-02 ,   ALPHA1 = 1.48233D+01
 #                   A2 =  9.37487D-01 ,   ALPHA2 = 2.04035D+00
 #                   A3 =  0.00000D+00 ,   ALPHA3 = 1.00000D+00
 #                   Volume integral = 8.00000E+00
 #
 # Muffin-tin model: Rmt = 3.22000E-08 cm
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 9.71047E-17 cm**2 = 3.46767E+00 a0**2
 # 1st transport cross section = 2.52555E-17 cm**2 = 9.01891E-01 a0**2
 # 2nd transport cross section = 3.88361E-17 cm**2 = 1.38686E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.51143E-16  8.96850E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.51143E-16  8.96850E+00  3.97349E-10  1.0E-07
  1.250E-04  1.18994E-12  2.51143E-16  8.96850E+00  4.96686E-10  1.0E-07
  1.500E-04  1.71346E-12  2.51143E-16  8.96850E+00  5.96024E-10  1.0E-07
  1.750E-04  2.33225E-12  2.51143E-16  8.96850E+00  6.95361E-10  1.0E-07
  2.000E-04  3.04617E-12  2.51143E-16  8.96850E+00  7.94698E-10  1.0E-07
  2.250E-04  3.85530E-12  2.51143E-16  8.96850E+00  8.94035E-10  1.0E-07
  2.500E-04  4.75964E-12  2.51143E-16  8.96850E+00  9.93373E-10  1.0E-07
  2.750E-04  5.75917E-12  2.51143E-16  8.96850E+00  1.09271E-09  1.0E-07
  3.000E-04  6.85391E-12  2.51143E-16  8.96850E+00  1.19205E-09  1.0E-07
  3.250E-04  8.04379E-12  2.51143E-16  8.96850E+00  1.29138E-09  1.0E-07
  3.500E-04  9.32893E-12  2.51143E-16  8.96850E+00  1.39072E-09  1.0E-07
  3.750E-04  1.07092E-11  2.51143E-16  8.96850E+00  1.49006E-09  1.0E-07
  4.000E-04  1.21847E-11  2.51143E-16  8.96850E+00  1.58940E-09  1.0E-07
  4.250E-04  1.37554E-11  2.51143E-16  8.96850E+00  1.68873E-09  1.0E-07
  4.500E-04  1.54213E-11  2.51143E-16  8.96850E+00  1.78807E-09  1.0E-07
  4.750E-04  1.71823E-11  2.51143E-16  8.96850E+00  1.88741E-09  1.0E-07
  5.000E-04  1.90386E-11  2.51143E-16  8.96850E+00  1.98675E-09  1.0E-07
  5.250E-04  2.09900E-11  2.51143E-16  8.96850E+00  2.08608E-09  1.0E-07
  5.500E-04  2.30367E-11  2.51143E-16  8.96850E+00  2.18542E-09  1.0E-07
  5.750E-04  2.51785E-11  2.51143E-16  8.96850E+00  2.28476E-09  1.0E-07
  6.000E-04  2.74156E-11  2.51143E-16  8.96850E+00  2.38409E-09  1.0E-07
  6.250E-04  2.97478E-11  2.51143E-16  8.96850E+00  2.48343E-09  1.0E-07
  6.500E-04  3.21752E-11  2.51143E-16  8.96850E+00  2.58277E-09  1.0E-07
  6.750E-04  3.46979E-11  2.51143E-16  8.96850E+00  2.68211E-09  1.0E-07
  7.000E-04  3.73157E-11  2.51143E-16  8.96850E+00  2.78144E-09  1.0E-07
  7.250E-04  4.00286E-11  2.51143E-16  8.96850E+00  2.88078E-09  1.0E-07
  7.500E-04  4.28368E-11  2.51143E-16  8.96850E+00  2.98012E-09  1.0E-07
  7.750E-04  4.57402E-11  2.51143E-16  8.96850E+00  3.07946E-09  1.0E-07
